woord afkap
gemoed ge-moed
genaak ge-naak
genade ge-na-de
genade<U+2040>'n ge-na-de<U+2040>'n
genade<U+2040>en ge-na-de<U+2040>en
genade<U+2040>in ge-na-de<U+2040>in
genade<U+2040>is ge-na-de<U+2040>is
genadeloon ge-na-de-loon
genadig ge-na-dig
geneem ge-neem
genees ge-nees
geneig ge-neig
geniet ge-niet
genoeg ge-noeg
genoem ge-noem
genooi ge-nooi
geopenbaar ge-o-pen-baar
gepla ge-pla
geplant ge-plant
gepreek ge-preek
geprofeteer ge-pro-fe-teer
geprys ge-prys
gered ge-red
gereed ge-reed
geregtigheid ge-reg-tig-heid
gereik ge-reik
gereinig ge-rei-nig
gerig ge-rig
gering ge-ring
geringes ge-rin-ges
geroep ge-roep
gérubs gérubs
geruisloos ge-ruis-loos
geruk ge-ruk
gesag ge-sag
gesalfde ge-salf-de
gesê ge-sê
geseen ge-seen
geseënd ge-seënd
gesien ge-sien
gesig ge-sig
gesigsverrukking ge-sigs-ver-ruk-king
gesing ge-sing
geskaar ge-skaar
geskape ge-ska-pe
geskied ge-skied
geskraag ge-skraag
geskrewe ge-skre-we
geskrif ge-skrif
geskrywe ge-skry-we
geskuur ge-skuur
geskyn ge-skyn
geslaan ge-slaan
geslag ge-slag
geslagte ge-slag-te
gesluit ge-sluit
gesmaad ge-smaad
gesmee ge-smee
gesnede ge-sne-de
gesondheid ge-sond-heid
gespan ge-span
gespreek ge-spreek
gestaan ge-staan
gestand ge-stand
gestel ge-stel
gesterf ge-sterf
gesterk ge-sterk
gestig ge-s-tig
gestild ge-stild
gestort ge-stort
gestraal ge-straal
gestreel ge-streel
geswoeg ge-swoeg
geterg ge-terg
getooi ge-tooi
getoon ge-toon
getree ge-tree
getref ge-tref
getrou ge-trou
getroue ge-troue
getroues ge-trou-es
getuie ge-tuie
getuienis ge-tui-e-nis
getuig ge-tuig
getuig'nis ge-tuig'nis
gevaar ge-vaar
gevel ge-vel
geverf ge-verf
gevestig ge-ves-tig
gevind ge-vind
gevloei ge-vloei
gevrees ge-vrees
gewaad ge-waad
gewade ge-wa-de
gewas ge-was
