woord afkap
bystand bystand
daad daad
daag daag
daagliks daag-liks
daagraad daagraad
daagraadsvlerke daagraads-vler-ke
daal daal
daar daar
daar's daar's
daar't daar't
daaraan daar-aan
daarbinne daar-bin-ne
daarbo daar-bo
daarbuite daar-bui-te
daarby daar-by
daardeur daardeur
daarheen daar-heen
daarin daar-in
daarmee daar-mee
daarna daar-na
daarom daar-om
daaronder daar-on-der
daaroor daar-oor
daarop daar-op
daartoe daartoe
daaruit daar-uit
daarvan daar-van
daarvoor daar-voor
dade da-de
dadeloos da-de-loos
dae dae
daeliks da-e-liks
dag dag
daglig dag-lig
dak dak
dal dal
dale da-le
damp damp
dampe dam-pe
dan dan
d�n d�n
dank dank
dankb're dankb're
dankbaar dank-baar
dankbaar-bly dank-baar-bly
dankbaar-trou dank-baar-trou
dankbaarheid dank-baar-heid
dankbetaling dank-be-ta-ling
dankbewys dank-be-wys
dankbewyse dank-be-wy-se
dankend dan-kend
dankerkent'nis dan-ker-kent'nis
dankgebede dank-ge-be-de
danklied dank-lied
danks� dank-s�
dapper dap-per
das das
dat dat
dawid da-wid
dawids da-wids
dawidstroon da-wids-troon
de de
deel deel
deelagtig deel-ag-tig
deer deer
deins deins
dek dek
delg delg
delger del-ger
demp demp
der der
derenis de-re-nis
derf derf
derwaarts der-waarts
des des
deur deur
deurbewe deur-be-we
deurboor deur-boor
deurdag deur-dag
deure deu-re
deureen deur-een
deurgedring deur-ge-dring
deurgesny deur-ge-sny
deurglans deur-glans
deurgloei deur-gloei
deurgrond deur-grond
deurknaag deur-knaag
deurkruis deur-kruis
deurleef deur-leef
deurlouterd deur-lou-terd
deurlugte deur-lug-te
deurskou deur-skou
deursoek deur-soek
deursteek deur-steek
deurstraal deur-straal
deursweef deur-sweef
deurtog deur-tog
deurtrek deur-trek
deurvleg deur-vleg
deurweef deur-weef
deurweek deur-week
deurwoel deur-woel
deurwond deur-wond
die die
di� di�
dief dief
dien dien
dienaar die-naar
dienaars die-naars
diens diens
diensbaarheid diens-baar-heid
diensbetoon diens-be-toon
diensmaagd diensmaagd
diensplig diensplig
dienswerk diens-werk
diep diep
diepe die-pe
dieper die-per
diepste diep-ste
diepte diep-te
dieptes diep-tes
dier dier
dierbaar dier-baar
dierbeeld dier-beeld
diere die-re
dies dies
dieselfde die-self-de
dig dig
digby dig-by
digte dig-te
digvuur dig-vuur
diktes dik-tes
dikwels dikwels
ding ding
dinge din-ge
dink dink
dis dis
disgenoot dis-ge-noot
dit dit
dode do-de
dodelike do-de-li-ke
doderyk do-de-ryk
doel doel
doemskuld doemskuld
doemskuldig doemskul-dig
doen doen
dof dof
dog dog
dogter dog-ter
dogterkoor dog-ter-koor
dogters dog-ters
dogterskaar dog-terskaar
dolke dol-ke
dolksteek dolk-steek
dom dom
domme dom-me
donder don-der
donderstemme don-der-stem-me
donderwolke don-der-wol-ke
donderwoord don-der-woord
donker don-ker
donkerhede don-ker-he-de
donkerheid don-ker-heid
dood dood
doods doods
doodsangs doodsangs
doodsdal doods-dal
doodsgevaar doods-ge-vaar
doodsgevare doods-ge-va-re
doodskrik doodskrik
doodslaap dood-slaap
doodspoort doodspoort
doodsvallei doods-val-lei
doodsvalleie doods-val-leie
doodsvrees doods-vrees
doodswind doods-wind
doof doof
dooie dooie
